fold,target_date,top_k,overlap_count,top_k_accuracy,mean_top10_rank_error,median_top10_rank_error,top10_volume_capture,overall_rank_correlation,actual_cutoff_tie
4,2025-06-06,10,9,0.9,2.5,1.0,0.98635477582846,0.9286966686148451,False
4,2025-06-07,10,9,0.9,1.4,1.5,0.9976359338061466,0.9526285028761267,True
4,2025-06-08,10,9,0.9,2.5,1.5,0.9834905660377359,0.9018118059614261,False
4,2025-06-09,10,8,0.8,1.4,1.0,0.9686192468619247,0.9456150604447999,False
4,2025-06-10,10,9,0.9,1.4,1.0,0.9841269841269841,0.9493063459349719,False
4,2025-06-11,10,9,0.9,1.7,1.0,0.995049504950495,0.9176228121443293,True
4,2025-06-12,10,10,1.0,1.0,0.0,1.0,0.9401396536343781,False
4,2025-06-13,10,8,0.8,1.7,0.5,0.9603174603174603,0.9353409824971546,False
4,2025-06-14,10,9,0.9,2.8,3.0,0.9825581395348837,0.9314651327324741,True
4,2025-06-15,10,9,0.9,1.8,1.0,0.9761904761904762,0.8910455566150912,False
4,2025-06-16,10,7,0.7,2.6,1.0,0.9358669833729216,0.9251284259743455,False
4,2025-06-17,10,8,0.8,3.0,2.0,0.9451073985680191,0.9504137315820235,True
